[key][2017-04-05 00:29:28:825]LuaManager初始化好了
[key][2017-04-05 00:29:28:928]GameMode:0
[key][2017-04-05 00:29:28:956]GameManager初始化好了，游戏正式开始。
[info][2017-04-05 00:32:54:439]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:32:54:978]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:33:01:619]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:33:02:297]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:33:02:839]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:33:06:196]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:33:06:938]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:33:07:223]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:33:07:759]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:33:12:677]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:33:13:599]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:33:14:691]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:33:17:799]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:33:18:081]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:33:18:618]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:33:21:379]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:33:22:037]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:33:22:577]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:33:27:900]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:33:28:059]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:33:28:617]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:33:31:699]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:33:32:120]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:33:32:659]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:33:36:240]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:33:37:084]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:33:37:617]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:33:42:040]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:33:42:499]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:33:45:038]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:33:45:144]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:33:52:941]Receive MSG: NetworkMsg  CMD_MAP_MATCH

[info][2017-04-05 00:33:54:496]Receive MSG: NetworkMsg  CMD_SITDOWN

[info][2017-04-05 00:33:56:220]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:33:57:358]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:33:58:116]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:33:58:736]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:33:59:820]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:34:01:659]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:34:01:837]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:34:02:797]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:34:02:860]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:34:03:960]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:34:04:673]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:34:04:738]Transform child out of bounds
[info][2017-04-05 00:34:04:757]  at (wrapper managed-to-native) UnityEngine.Transform:GetChild (int)
  at LuaFramework.LuaHelper.CreatePrefab (UnityEngine.Transform parent, System.String path, System.String name) [0x00069] in F:\123\CrazyTank\client\Assets\LuaFramework\Script\misc\LuaHelper.cs:927 
[info][2017-04-05 00:34:04:795]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:34:05:746]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:34:05:762]Transform child out of bounds
[info][2017-04-05 00:34:05:781]  at (wrapper managed-to-native) UnityEngine.Transform:GetChild (int)
  at LuaFramework.LuaHelper.CreatePrefab (UnityEngine.Transform parent, System.String path, System.String name) [0x00069] in F:\123\CrazyTank\client\Assets\LuaFramework\Script\misc\LuaHelper.cs:927 
[info][2017-04-05 00:34:06:799]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:34:06:868]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:34:06:882]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:34:06:897]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:34:07:166]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:34:07:181]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:34:07:196]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:34:07:211]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:34:07:225]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:34:07:240]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:34:07:255]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:34:07:269]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:34:07:284]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:34:07:298]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:34:07:362]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-05 00:34:07:520]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

