[key][2017-04-01 11:19:22:292]LuaManager初始化好了
[key][2017-04-01 11:19:22:317]GameMode:0
[key][2017-04-01 11:19:22:326]GameManager初始化好了，游戏正式开始。
[key][2017-04-01 11:50:06:462]LuaManager初始化好了
[key][2017-04-01 11:50:06:492]GameMode:0
[key][2017-04-01 11:50:06:501]GameManager初始化好了，游戏正式开始。
[key][2017-04-01 11:51:25:049]LuaManager初始化好了
[key][2017-04-01 11:51:25:078]GameMode:0
[key][2017-04-01 11:51:25:088]GameManager初始化好了，游戏正式开始。
[info][2017-04-01 11:54:37:779]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:40:618]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:44:999]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:48:144]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:48:678]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:48:783]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:48:790]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:48:825]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:48:841]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:49:099]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:49:117]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:49:159]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:49:164]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:49:524]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:49:643]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:50:187]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:56:324]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:56:902]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:56:967]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:56:992]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:54:58:063]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:55:02:044]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:55:02:548]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:55:04:399]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:55:04:414]CharacterStateType.ATTACK
[info][2017-04-01 11:55:04:861]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:55:04:895]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:55:05:006]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:55:06:101]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:55:07:022]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:55:07:527]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:55:09:424]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:55:09:824]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:55:09:889]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:55:09:909]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:55:10:964]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:55:13:547]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:55:13:575]CharacterStateType.ATTACK
[info][2017-04-01 11:55:14:171]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:55:14:184]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:55:14:326]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:55:14:844]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:55:20:606]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:55:21:165]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:55:21:705]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:55:23:145]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 11:55:24:884]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 13:58:46:018]Receive MSG: NetworkMsg  CMD_MAP_MATCH

[info][2017-04-01 13:58:46:034]Receive MSG: NetworkMsg  CMD_SITDOWN

[info][2017-04-01 13:58:46:671]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 13:58:47:782]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 13:58:48:865]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 13:58:51:142]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 13:58:54:042]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 13:58:55:602]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 13:59:00:129]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 13:59:00:636]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 13:59:00:716]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 13:59:00:721]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 13:59:00:764]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 13:59:00:770]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 13:59:01:023]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 13:59:01:064]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 13:59:01:071]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 13:59:01:410]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 13:59:01:435]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 13:59:01:543]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 13:59:02:087]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

[info][2017-04-01 13:59:04:361]Receive MSG: NetworkMsg  CMD_PUSHGAMEDATA

